log_id,employee_id,department,timestamp,date,hour,day_of_week,is_weekend,is_after_hours,resource_type,sensitivity_level,action,location,download_size_mb,session_duration_min,access_failed,ip_address,device_type,vpn_used,rule_score,final_risk_score,risk_level,anomaly_score,is_anomaly
LOG1000000,EMP1012,Engineering,2024-04-17 12:42:30,2024-04-17,12,Wednesday,False,False,Security_Config,Highly Confidential,EDIT,Office,0.0,57,False,166.144.141.35,Laptop,False,38,34.55,Medium,13.26,False
LOG1000001,EMP1039,Engineering,2024-11-02 14:10:16,2024-11-02,14,Saturday,True,False,Security_Config,Highly Confidential,VIEW,Home,0.0,57,False,187.49.155.99,Laptop,False,56,42.16,Medium,26.68,False
LOG1000002,EMP1075,Engineering,2024-03-11 22:27:13,2024-03-11,22,Monday,False,True,Employee_Records,Highly Confidential,DOWNLOAD,Home,264.39,31,False,52.140.202.106,Laptop,False,98,97.55,Critical,100.0,True
LOG1000003,EMP1137,IT,2024-03-05 15:48:46,2024-03-05,15,Tuesday,False,False,IP_Document,Confidential,EDIT,VPN,0.0,41,False,24.96.197.212,Mobile,True,33,45.14,Medium,30.59,False
LOG1000004,EMP1029,Sales,2024-10-07 08:12:45,2024-10-07,8,Monday,False,True,Legal_Document,Confidential,VIEW,Proxy,0.0,28,False,137.243.229.44,Desktop,False,71,43.47,Medium,28.85,False
LOG1000005,EMP1142,HR,2024-11-11 11:25:42,2024-11-11,11,Monday,False,False,Salary_Data,Highly Confidential,VIEW,Office,0.0,38,False,174.101.96.141,Desktop,False,33,47.2,Medium,35.06,True
LOG1000006,EMP1055,Operations,2024-07-11 07:23:28,2024-07-11,7,Thursday,False,True,Meeting_Notes,Internal,DELETE,Office,0.0,1,False,8.168.159.25,Mobile,False,55,34.46,Medium,15.0,False
LOG1000007,EMP1079,Finance,2024-01-10 21:33:28,2024-01-10,21,Wednesday,False,True,HR_Database,Highly Confidential,VIEW,Office,0.0,34,False,203.64.72.60,Mobile,False,53,34.38,Medium,11.75,False
LOG1000008,EMP1027,Sales,2024-12-11 15:15:14,2024-12-11,15,Wednesday,False,False,HR_Database,Highly Confidential,DOWNLOAD,Office,8.25,30,False,212.165.248.15,Mobile,False,45,29.78,Low,2.97,False
LOG1000009,EMP1098,Finance,2024-06-14 15:37:35,2024-06-14,15,Friday,False,False,Customer_Data,Confidential,VIEW,Home,0.0,19,False,8.149.217.111,Mobile,False,31,31.72,Medium,8.94,False
